Country,Contributor,Fund,Fund focus,Measure Names,Measure Values
Australia,Australia,Clean Technology Fund (CTF),Mitigation - General,Deposited (USD million current),86.33
Australia,Australia,Clean Technology Fund (CTF),Mitigation - General,Pledged (USD million current),86.33
Australia,Australia,Forest Carbon Partnership Facility - Carbon Fund (FCPF-CF),Mitigation - REDD,Deposited (USD million current),18.39
Australia,Australia,Forest Carbon Partnership Facility - Carbon Fund (FCPF-CF),Mitigation - REDD,Pledged (USD million current),18.39
Australia,Australia,Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF),Mitigation - REDD,Deposited (USD million current),23.89
Australia,Australia,Forest Carbon Partnership Facility - Readiness Fund (FCPF-RF),Mitigation - REDD,Pledged (USD million current),23.89
Australia,Australia,Forest Investment Program (FIP),Mitigation - REDD,Deposited (USD million current),35.28
Australia,Australia,Forest Investment Program (FIP),Mitigation - REDD,Pledged (USD million current),35.28
Australia,Australia,Global Environment Facility (GEF4),Multiple Foci,Deposited (USD million current),15.03
Australia,Australia,Global Environment Facility (GEF4),Multiple Foci,Pledged (USD million current),15.03
Australia,Australia,Global Environment Facility (GEF5),Multiple Foci,Deposited (USD million current),26.09
Australia,Australia,Global Environment Facility (GEF5),Multiple Foci,Pledged (USD million current),26.09
Australia,Australia,Global Environment Facility (GEF6),Multiple Foci,Deposited (USD million current),24.072
Australia,Australia,Global Environment Facility (GEF6),Multiple Foci,Pledged (USD million current),24.072
Australia,Australia,Global Environment Facility (GEF7),Multiple Foci,Deposited (USD million current),11.79
Australia,Australia,Global Environment Facility (GEF7),Multiple Foci,Pledged (USD million current),11.79
Australia,Australia,Global Environment Facility (GEF8),Multiple Foci,Deposited (USD million current),9.36
Australia,Australia,Global Environment Facility (GEF8),Multiple Foci,Pledged (USD million current),9.36
Australia,Australia,Green Climate Fund (GCF-2),Multiple Foci,Deposited (USD million current),
Australia,Australia,Green Climate Fund (GCF-2),Multiple Foci,Pledged (USD million current),33.77
Australia,Australia,Green Climate Fund IRM (GCF IRM),Multiple Foci,Deposited (USD million current),187.33
Australia,Australia,Green Climate Fund IRM (GCF IRM),Multiple Foci,Pledged (USD million current),187.33
